Gene,Type
DRG2,A
MYCN,A
GLI2,A
TNFRSF13B,A
CDK6,A
ACVR2B,A
GLI2,A
PRDM6,A
CDK6,A
PRDM6,A
GFI1B,A
PRDM6,A
MIR17HG,A
PRDM6,A
ACVR2B,A
MYC,A
MYCN,A
CCND2,A
TERT,A
YAP1,A
MYCN,A
LMO4,A
MYCN,A
CCND2,A
MYCN,A
MYC,A
ZIK1,A
MYCN,A
TSC1,A
GFI1B,A
PRDM6,A
PRDM6,A
MYCN,A
KDM6A,A
CCND2,A
GLI2,A
ZIK1,A
TSC1,A
GFI1B,A
MYC,A
ACVR2A,A
GLI2,A
MYC,A
OTX2,A
OTX2,A
MDM4,A
PRDM6,A
MYCN,A
GFI1B,A
TSC1,A
PRDM6,A
MYCN,A
TERT,A
OTX2,A
PRDM6,A
OTX2,A
MYC,A
MYC,A
PRDM6,A
PRDM6,A
PPM1D,A
TERT,A
TERT,A
CCND2,A
KCNA1,A
TERT,A
MYCN,A
GLI2,A
MYC,A
PRDM6,A
MYCN,A
PRDM6,A
TSC1,A
GFI1B,A
CDK6,A
PRDM6,A
MYC,A
PRDM6,A
MYCN,A
OTX2,A
MYC,A
TGFBR1,A
MYC,A
MYC,A
MYC,A
GLI2,A
TERT,A
MYC,A
MYCN,A
MYCN,A
MYC,A
MYCN,A
GLI2,A
MYCN,A
GLI2,A
GFI1B,A
GFI1B,A
CDK6,A
TERT,A
GLI2,A
MYC,A
PRDM6,A
YAP1,A
ACVR2B,A
MYCL1,A
MYCN,A
OTX2,A
CCND2,A
MYCN,A
YAP1,A
IRS2,A
PPM1D,A
KAT6A,A
MYCN,A
GLI2,A
MYCN,A
OTX2,A
MYCL1,A
CDK6,A
TNFRSF13B,A
MIR17HG,A
MYCN,A
GLI2,A
PPM1D,A
TSC1,A
GFI1B,A
CD99,A
MYCN,A
MYCN,A
MYC,A
CDK6,A
MYC,A
TSC1,A
GFI1B,A
TSC1,A
GFI1B,A
CCND2,A
MYCL1,A
KCNA1,A
CDK6,A
OTX2,A
MYC,A
PPM1D,A
MYC,A
MYCN,A
OTX2,A
CDK6,A
OTX2,A
OTX2,A
MYCN,A
PRDM6,A
GFI1B,A
TSC1,A
OTX2,A
IRS2,A
KAT6A,A
OTX2,A
PTCH1,D
MAP2K4,D
TP53,D
PTEN,D
CDKN2A,D
TNFRSF13B,D
GFI1B,D
TSC1,D
TSC1,D
GFI1B,D
TSC1,D
GFI1B,D
OTX2,D
PTEN,D
PTEN,D
CD99,D
GFI1B,D
TSC1,D
PTEN,D
PTCH1,D
PTEN,D
EHMT1,D
TSC1,D
GFI1B,D
PHF2,D
PTCH1,D
CCNE2,D
GFI1B,D
TSC1,D
TSC1,D
GFI1B,D
GFI1B,D
KDM6A,D
MAP2K4,D
SOX12,D
PTCH1,D
PTEN,D
GFI1B,D
TSC1,D
GFI1B,D
TSC1,D
CDKN2A,D
TSC1,D
GFI1B,D
DLC1,D
