Gene,Genomic_Alt,Protein_Alt,Note
PTCH1,,,51
DDX3X,,,43
KMT2D,,,34
CTNNB1,,,32
KMT2C,,,29
SMARCA4,,,25
TTN,,,25
KBTBD4,,,19
KDM6A,,,17
MUC16,,,17
TP53,,,17
CREBBP,,,15
ZMYM3,,,14
SMO,,,13
TCF4,,,12
ZIC1,,,12
CDK1,,,11
NIN,,,11
NME5,,,11
FBXW7,,,10
GSE1,,,10
LAMA2,,,10
RSBN1L,,,10
CTDNEP1,,,9
PIK3CA,,,9
BCOR,,,8
MUC17,,,8
RYR3,,,8
ARID1A,,,7
NEB,,,7
OBSCN,,,7
PRKAR1A,,,7
RBM5,,,7
RTTN,,,7
RYR2,,,7
SPHKAP,,,7
STAG2,,,7
SUFU,,,7
SYNE1,,,7
USH2A,,,7
ZFHX3,,,7
AHNAK2,,,6
APOB,,,6
CHD7,,,6
CSF2RA,,,6
DNAH14,,,6
DST,,,6
FAT1,,,6
FCGBP,,,6
FLG,,,6
FMR1,,,6
FSIP2,,,6
HLA-DRB1,,,6
IDH1,,,6
KDM3B,,,6
KIF26B,,,6
LDB1,,,6
LRP1B,,,6
MACF1,,,6
MED12,,,6
PABPC1,,,6
PCDH19,,,6
SCN4A,,,6
ZNF229,,,6
ABCA13,,,5
ANKRD44,,,5
ARID2,,,5
BAI3,,,5
CCDC41,,,5
CD163L1,,,5
CSMD3,,,5
CSNK2B,,,5
DNAH1,,,5
DNAH11,,,5
DNAH5,,,5
DNAH8,,,5
DNAH9,,,5
FAT2,,,5
FILIP1,,,5
FLNA,,,5
FNDC1,,,5
FRAS1,,,5
GNAS,,,5
HLA-A,,,5
KAT6B,,,5
LHX1,,,5
NSD1,,,5
OTOP1,,,5
PCDH15,,,5
PLXNA2,,,5
PTCHD4,,,5
PTEN,,,5
RP11-512M8,,,5
RP1L1,,,5
SETD2,,,5
SF3B1,,,5
TAF1L,,,5
TBR1,,,5
TG,,,5
TNXB,,,5
XPO1,,,5
ABCC9,,,4
ACSL6,,,4
APC,,,4
ARID1B,,,4
ATM,,,4
BCR,,,4
BIRC6,,,4
BRPF1,,,4
CDH23,,,4
CEP350,,,4
CFTR,,,4
CGN,,,4
COL12A1,,,4
CRIPAK,,,4
DCDC1,,,4
DMD,,,4
DMXL1,,,4
DNAH17,,,4
DOCK8,,,4
DSP,,,4
DYNC1H1,,,4
EPHA7,,,4
EVPL,,,4
F5,,,4
FCRL2,,,4
FGFRL1,,,4
FHDC1,,,4
FMN2,,,4
GLI2,,,4
GRID1,,,4
HCFC1,,,4
ITGA2,,,4
ITIH5,,,4
KIAA1731,,,4
KLHL38,,,4
LINC00955,,,4
LRRC4C,,,4
LRRK2,,,4
LYST,,,4
MMP11,,,4
MXRA5,,,4
MYH13,,,4
MYH14,,,4
MYH4,,,4
NAV3,,,4
NBAS,,,4
NLRP5,,,4
NOTCH2,,,4
NUP210,,,4
OR2T2,,,4
PAX6,,,4
PCDHA8,,,4
PCDHGB3,,,4
PDE4DIP,,,4
PLCE1,,,4
PLEC,,,4
POU6F2,,,4
PUM1,,,4
RAPGEF1,,,4
RNF213,,,4
SCN10A,,,4
SIGLEC9,,,4
SIN3A,,,4
SMARCA2,,,4
SPEN,,,4
SPTA1,,,4
SPTBN2,,,4
SUSD2,,,4
SYNE2,,,4
TMC1,,,4
TMPRSS15,,,4
TPO,,,4
TRRAP,,,4
USP6,,,4
WNK1,,,4
ZFHX4,,,4
ABCA8,,,3
ABCB1,,,3
ABCB5,,,3
ABCC3,,,3
ABCC4,,,3
ABL1,,,3
ABR,,,3
ACAN,,,3
ACTL9,,,3
ADAMTS12,,,3
ADAMTS7,,,3
ADAMTS9,,,3
ADAMTSL3,,,3
ADCY4,,,3
AEBP1,,,3
AKAP8L,,,3
AKR1C4,,,3
ALDH1L1,,,3
ALPK2,,,3
ANK2,,,3
ANKRD11,,,3
AOC3,,,3
APBA1,,,3
APOBR,,,3
ARAP3,,,3
ARHGAP25,,,3
ARHGAP26,,,3
ARSI,,,3
ASXL3,,,3
ATG2A,,,3
BRCA2,,,3
C15orf52,,,3
C1orf172,,,3
C2orf16,,,3
CACNA1D,,,3
CACNA1H,,,3
CACNA1I,,,3
CALR3,,,3
CCDC146,,,3
CD5L,,,3
CDH10,,,3
CDK5RAP2,,,3
CELSR1,,,3
CELSR2,,,3
CHDH,,,3
CHST6,,,3
CILP2,,,3
CNGA1,,,3
CNTN2,,,3
COL11A2,,,3
COL1A1,,,3
COL21A1,,,3
COL4A1,,,3
COL5A1,,,3
CORIN,,,3
CR2,,,3
CTR9,,,3
CUL1,,,3
CYLC1,,,3
CYP2B6,,,3
DBH,,,3
DDX6,,,3
DHX8,,,3
DLG2,,,3
DLG5,,,3
DNER,,,3
DNHD1,,,3
DUSP27,,,3
EMR2,,,3
EP300,,,3
EXOC3L4,,,3
FAM124A,,,3
FAM227B,,,3
FAM8A1,,,3
FANCI,,,3
FGD3,,,3
FREM2,,,3
GABRA3,,,3
GABRG1,,,3
GOLGA6L2,,,3
GPS2,,,3
GRIN2B,,,3
GTF2IRD1,,,3
GTF3C1,,,3
GZMH,,,3
H1FNT,,,3
HCRT,,,3
HDAC2,,,3
HECTD1,,,3
HMCN1,,,3
IFIT1,,,3
IGHV4OR15-8,,,3
IL21R,,,3
ING1,,,3
IRF6,,,3
JMJD1C,,,3
KANSL1,,,3
KDM1A,,,3
KDM5A,,,3
KIAA1199,,,3
KIAA1244,,,3
KIF7,,,3
KMT2B,,,3
KRT24,,,3
KRTAP4-3,,,3
KRTAP9-7,,,3
LACE1,,,3
LAMA5,,,3
LATS2,,,3
LCT,,,3
LILRA4,,,3
LRRC8D,,,3
LTF,,,3
MAP3K9,,,3
MAX,,,3
MDN1,,,3
MICU3,,,3
MKL2,,,3
MSN,,,3
MUC12,,,3
MYO15A,,,3
MYO18A,,,3
NEK7,,,3
NETO1,,,3
NFIB,,,3
NLGN3,,,3
NLRC5,,,3
NLRP3,,,3
NLRP4,,,3
NOD1,,,3
NOS1,,,3
NOTCH1,,,3
NOTCH3,,,3
NPIPB15,,,3
NUP214,,,3
OR10P1,,,3
OR5M3,,,3
OTOGL,,,3
PCDHB14,,,3
PCM1,,,3
PCNT,,,3
PCNXL4,,,3
PDE11A,,,3
PDILT,,,3
PDXDC1,,,3
PFAS,,,3
PI4KA,,,3
PIK3R1,,,3
PKHD1L1,,,3
PLEKHA5,,,3
PLEKHH2,,,3
POLQ,,,3
POMZP3,,,3
PPFIBP1,,,3
PRKACA,,,3
PRKDC,,,3
PRMT2,,,3
PROX1,,,3
PTBP1,,,3
PTK7,,,3
PVRL1,,,3
RAB11FIP1,,,3
RASAL1,,,3
RBBP6,,,3
RBM47,,,3
RFC4,,,3
RIMS2,,,3
RLF,,,3
ROCK2,,,3
ROR1,,,3
ROS1,,,3
RP1,,,3
RP11-1220K2,,,3
RP4-576H24,,,3
RRAGB,,,3
RUNX2,,,3
RYR1,,,3
SBSN,,,3
SDPR,,,3
SERINC4,,,3
SETBP1,,,3
SFMBT2,,,3
SHANK3,,,3
SHROOM2,,,3
SHROOM3,,,3
SIGLEC8,,,3
SLC2A10,,,3
SLC45A4,,,3
SLC6A12,,,3
SLC7A2,,,3
SMPD4,,,3
SORCS1,,,3
SRRM4,,,3
SRSF11,,,3
STK36,,,3
SVIL,,,3
SYCP2,,,3
SYNCRIP,,,3
TAF1,,,3
TANC2,,,3
TBC1D32,,,3
TCF12,,,3
TEAD1,,,3
TNFSF10,,,3
TNKS1BP1,,,3
TNRC18,,,3
TNRC6A,,,3
TNS1,,,3
TP63,,,3
TPH2,,,3
TPTE2,,,3
TRIM33,,,3
TRIM58,,,3
TTC28,,,3
TXNDC2,,,3
UBN2,,,3
UBR3,,,3
UBR4,,,3
UBR5,,,3
UBTF,,,3
UNC13A,,,3
UTRN,,,3
UVRAG,,,3
VPS13C,,,3
VWDE,,,3
WDFY3,,,3
WDFY4,,,3
WDR16,,,3
WDR87,,,3
ZBTB18,,,3
ZFAT,,,3
ZIC2,,,3
ZMYM4,,,3
ZNF185,,,3
ZNF280D,,,3
ZNF462,,,3
ZNF645,,,3
ZNF831,,,3
ZSCAN5C,,,3
ABCA2,,,2
ABCA4,,,2
ADCK1,,,2
AKT1,,,2
AMPH,,,2
ATP12A,,,2
CHD8,,,2
CMYA5,,,2
COL5A2,,,2
DOPEY2,,,2
EDC4,,,2
EIF3G,,,2
EPHA1,,,2
EPHB3,,,2
FAM53A,,,2
FOLH1,,,2
GPAM,,,2
GPRIN2,,,2
HLA-DQB2,,,2
HLA-DRB5,,,2
ICOSLG,,,2
IGFL2,,,2
IGLV2-14,,,2
ITPR1,,,2
KRTAP9-1,,,2
LAMA4,,,2
LPHN2,,,2
LTN1,,,2
MEGF10,,,2
