"seqnames","start","end","width","strand","SYMBOL"
"chr19",58858172,58874214,16043,"-","A1BG"
"chr8",18248755,18258723,9969,"+","NAT2"
"chr20",43248163,43280376,32214,"-","ADA"
"chr18",25530930,25757445,226516,"-","CDH2"
"chr1",243651535,244006886,355352,"-","AKT3"
"chrX",49217763,49233491,15729,"+","GAGE12F"
"chr3",101395274,101398057,2784,"+","ZBTB11-AS1"
"chr14",71050957,71067384,16428,"-","MED6"
"chr15",72102894,72110597,7704,"+","NR2E3"
"chr11",89867818,89925779,57962,"+","NAALAD2"
"chr15",25296623,25296719,97,"+","SNORD116-1"
"chr15",25299356,25313030,13675,"+","SNORD116-2"
"chr15",25302006,25318349,16344,"+","SNORD116-3"
"chr15",25304684,25304781,98,"+","SNORD116-4"
"chr15",25307479,25307575,97,"+","SNORD116-5"
"chr15",25315578,25315674,97,"+","SNORD116-8"
"chr15",25319260,25319363,104,"+","SNORD116-10"
"chr15",25321075,25321168,94,"+","SNORD116-11"
"chr15",25322197,25322290,94,"+","SNORD116-12"
"chr15",25324204,25325381,1178,"+","SNORD116-13"
"chr15",25326433,25326526,94,"+","SNORD116-15"
"chr15",25327914,25328007,94,"+","SNORD116-16"
"chr15",25330531,25330624,94,"+","SNORD116-18"
"chr15",25332808,25334043,1236,"+","SNORD116-20"
"chr15",25335059,25335157,99,"+","SNORD116-22"
"chr15",25336932,25337025,94,"+","SNORD116-23"
"chr15",25339183,25339276,94,"+","SNORD116-24"
"chr15",25342809,25342902,94,"+","SNORD116-25"
"chr15",25417782,25417863,82,"+","SNORD115-2"
"chr15",25344645,25346814,2170,"+","SNORD116-26"
"chr15",25420074,25420155,82,"+","SNORD115-3"
"chr15",25421979,25422060,82,"+","SNORD115-4"
"chr15",25423885,25423966,82,"+","SNORD115-5"
"chr15",25425644,25425725,82,"+","SNORD115-6"
"chr15",25427532,25427613,82,"+","SNORD115-7"
"chr15",25429453,25429534,82,"+","SNORD115-8"
"chr15",25430778,25436644,5867,"+","SNORD115-9"
"chr15",25432683,25492573,59891,"+","SNORD115-10"
"chr15",25434561,25494426,59866,"+","SNORD115-11"
"chr15",25438468,25438549,82,"+","SNORD115-13"
"chr15",25440068,25440148,81,"+","SNORD115-14"
"chr15",25444595,25444676,82,"+","SNORD115-16"
"chr15",25446470,25449585,3116,"+","SNORD115-17"
"chr15",25455065,25455146,82,"+","SNORD115-22"
"chr15",25460688,25460769,82,"+","SNORD115-25"
"chr15",25463764,25463845,82,"+","SNORD115-26"
"chr15",25470350,25470431,82,"+","SNORD115-30"
"chr15",25472256,25472337,82,"+","SNORD115-31"
"chr15",25474114,25474195,82,"+","SNORD115-32"
"chr15",25475985,25476066,82,"+","SNORD115-33"
